F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0       1       0  0  80   0 - 42027 -      ?        00:00:41 systemd
1 S     0       2       0  0  80   0 -     0 -      ?        00:00:02 kthreadd
1 I     0       3       2  0  60 -20 -     0 -      ?        00:00:00 rcu_gp
1 I     0       4       2  0  60 -20 -     0 -      ?        00:00:00 rcu_par_gp
1 I     0       5       2  0  60 -20 -     0 -      ?        00:00:00 slub_flushwq
1 I     0       6       2  0  60 -20 -     0 -      ?        00:00:00 netns
1 I     0      11       2  0  60 -20 -     0 -      ?        00:00:00 mm_percpu_wq
1 I     0      12       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_kthread
1 I     0      13       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_rude_kthread
1 I     0      14       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_trace_kthread
1 S     0      15       2  0  80   0 -     0 -      ?        00:00:07 ksoftirqd/0
1 I     0      16       2  0  80   0 -     0 -      ?        00:01:14 rcu_preempt
1 S     0      17       2  0 -40   - -     0 -      ?        00:00:04 migration/0
1 S     0      18       2  0   9   - -     0 -      ?        00:00:00 idle_inject/0
1 S     0      19       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/0
5 S     0      20       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/1
1 S     0      21       2  0   9   - -     0 -      ?        00:00:00 idle_inject/1
1 S     0      22       2  0 -40   - -     0 -      ?        00:00:04 migration/1
1 S     0      23       2  0  80   0 -     0 -      ?        00:00:21 ksoftirqd/1
5 S     0      26       2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 I     0      27       2  0  60 -20 -     0 -      ?        00:00:00 inet_frag_wq
1 S     0      29       2  0  80   0 -     0 -      ?        00:00:00 kauditd
1 S     0      31       2  0  80   0 -     0 -      ?        00:00:01 khungtaskd
1 S     0      32       2  0  80   0 -     0 -      ?        00:00:00 oom_reaper
1 I     0      34       2  0  60 -20 -     0 -      ?        00:00:01 writeback
1 S     0      35       2  0  80   0 -     0 -      ?        00:00:22 kcompactd0
1 S     0      36       2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0      37       2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 I     0      38       2  0  60 -20 -     0 -      ?        00:00:00 kintegrityd
1 I     0      39       2  0  60 -20 -     0 -      ?        00:00:00 kblockd
1 I     0      40       2  0  60 -20 -     0 -      ?        00:00:00 blkcg_punt_bio
1 I     0      42       2  0  60 -20 -     0 -      ?        00:00:00 tpm_dev_wq
1 I     0      43       2  0  60 -20 -     0 -      ?        00:00:00 ata_sff
1 I     0      44       2  0  60 -20 -     0 -      ?        00:00:00 md
1 I     0      45       2  0  60 -20 -     0 -      ?        00:00:00 md_bitmap
1 I     0      46       2  0  60 -20 -     0 -      ?        00:00:00 edac-poller
1 I     0      47       2  0  60 -20 -     0 -      ?        00:00:00 devfreq_wq
1 S     0      48       2  0   9   - -     0 -      ?        00:00:00 watchdogd
1 S     0      50       2  0  80   0 -     0 -      ?        00:00:05 kswapd0
1 S     0      51       2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthread
1 I     0      52       2  0  60 -20 -     0 -      ?        00:00:00 kthrotld
1 S     0      53       2  0   9   - -     0 -      ?        00:00:00 irq/24-pciehp
1 S     0      54       2  0   9   - -     0 -      ?        00:00:00 irq/25-pciehp
1 S     0      55       2  0   9   - -     0 -      ?        00:00:00 irq/26-pciehp
1 S     0      56       2  0   9   - -     0 -      ?        00:00:00 irq/27-pciehp
1 S     0      57       2  0   9   - -     0 -      ?        00:00:00 irq/28-pciehp
1 S     0      58       2  0   9   - -     0 -      ?        00:00:00 irq/29-pciehp
1 S     0      59       2  0   9   - -     0 -      ?        00:00:00 irq/30-pciehp
1 S     0      60       2  0   9   - -     0 -      ?        00:00:00 irq/31-pciehp
1 S     0      61       2  0   9   - -     0 -      ?        00:00:00 irq/32-pciehp
1 S     0      62       2  0   9   - -     0 -      ?        00:00:00 irq/33-pciehp
1 S     0      63       2  0   9   - -     0 -      ?        00:00:00 irq/34-pciehp
1 S     0      64       2  0   9   - -     0 -      ?        00:00:00 irq/35-pciehp
1 S     0      65       2  0   9   - -     0 -      ?        00:00:00 irq/36-pciehp
1 S     0      66       2  0   9   - -     0 -      ?        00:00:00 irq/37-pciehp
1 S     0      67       2  0   9   - -     0 -      ?        00:00:00 irq/38-pciehp
1 S     0      68       2  0   9   - -     0 -      ?        00:00:00 irq/39-pciehp
1 S     0      69       2  0   9   - -     0 -      ?        00:00:00 irq/40-pciehp
1 S     0      70       2  0   9   - -     0 -      ?        00:00:00 irq/41-pciehp
1 S     0      71       2  0   9   - -     0 -      ?        00:00:00 irq/42-pciehp
1 S     0      72       2  0   9   - -     0 -      ?        00:00:00 irq/43-pciehp
1 S     0      73       2  0   9   - -     0 -      ?        00:00:00 irq/44-pciehp
1 S     0      74       2  0   9   - -     0 -      ?        00:00:00 irq/45-pciehp
1 S     0      75       2  0   9   - -     0 -      ?        00:00:00 irq/46-pciehp
1 S     0      76       2  0   9   - -     0 -      ?        00:00:00 irq/47-pciehp
1 S     0      77       2  0   9   - -     0 -      ?        00:00:00 irq/48-pciehp
1 S     0      78       2  0   9   - -     0 -      ?        00:00:00 irq/49-pciehp
1 S     0      79       2  0   9   - -     0 -      ?        00:00:00 irq/50-pciehp
1 S     0      80       2  0   9   - -     0 -      ?        00:00:00 irq/51-pciehp
1 S     0      81       2  0   9   - -     0 -      ?        00:00:00 irq/52-pciehp
1 S     0      82       2  0   9   - -     0 -      ?        00:00:00 irq/53-pciehp
1 S     0      83       2  0   9   - -     0 -      ?        00:00:00 irq/54-pciehp
1 S     0      84       2  0   9   - -     0 -      ?        00:00:00 irq/55-pciehp
1 I     0      85       2  0  60 -20 -     0 -      ?        00:00:00 acpi_thermal_pm
1 S     0      86       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 I     0      87       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_0
1 S     0      88       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 I     0      89       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_1
1 I     0      93       2  0  60 -20 -     0 -      ?        00:00:00 mld
1 I     0      94       2  0  60 -20 -     0 -      ?        00:00:00 ipv6_addrconf
1 I     0     102       2  0  60 -20 -     0 -      ?        00:00:00 kstrp
1 I     0     104       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u257:0-hci0
1 I     0     108       2  0  60 -20 -     0 -      ?        00:00:00 charger_manager
1 I     0     153       2  0  60 -20 -     0 -      ?        00:00:00 mpt_poll_0
1 I     0     154       2  0  60 -20 -     0 -      ?        00:00:00 mpt/0
1 S     0     156       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
1 I     0     161       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_2
1 S     0     163       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_3
1 I     0     165       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_3
1 S     0     167       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_4
1 I     0     168       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_4
1 S     0     169       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_5
1 I     0     170       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_5
1 S     0     171       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_6
1 I     0     172       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_6
1 S     0     173       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_7
1 I     0     174       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_7
1 S     0     175       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_8
1 I     0     176       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_8
1 S     0     177       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_9
1 I     0     178       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_9
1 S     0     179       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_10
1 I     0     180       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_10
1 S     0     181       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_11
1 I     0     182       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_11
1 S     0     183       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_12
1 I     0     184       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_12
1 S     0     185       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_13
1 I     0     186       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_13
1 S     0     187       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_14
1 I     0     188       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_14
1 S     0     189       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_15
1 I     0     190       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_15
1 S     0     191       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_16
1 I     0     192       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_16
1 S     0     193       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_17
1 I     0     194       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_17
1 S     0     195       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_18
1 I     0     196       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_18
1 S     0     197       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_19
1 I     0     198       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_19
1 S     0     199       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_20
1 I     0     200       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_20
1 S     0     201       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_21
1 I     0     202       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_21
1 S     0     203       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_22
1 I     0     204       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_22
